edad_piloto,experiencia_piloto,peso_piloto,altura_piloto,presupuesto_equipo_millones,potencia_motor_hp,peso_coche_kg,downforce_kg,eficiencia_combustible,temperatura_pista_c,tipo_neumaticos,condiciones_climaticas,tiempo_vuelta_segundos,puntos_carrera,termino_podio,posicion_final,desgaste_neumaticos_vuelta,imc_piloto,relacion_potencia_peso,experiencia_edad_ratio,tipo_neumaticos_soft,tipo_neumaticos_medium,tipo_neumaticos_hard,condiciones_lluvia
20,8,73.6,196.3,102.59,918.0,724.6,336.4,1.049,25,Hard,Lluvia ligera,60.606,14.7,1,1.0,0.7359,19.1,1.267,0.4,0,0,1,1
40,6,70.5,167.6,102.54,943.0,780.5,432.8,0.701,18,Medium,Soleado,59.239,10.5,1,1.0,0.6696,25.1,1.208,0.15,0,1,0,0
18,9,60.1,169.3,186.54,778.0,848.7,239.8,0.822,43,Intermediate,Soleado,89.25,12.1,1,1.0,0.9116,21.0,0.917,0.5,0,0,0,0
20,13,64.4,171.8,110.37,831.0,704.1,415.8,0.631,25,Medium,Soleado,60.345,13.3,1,1.0,0.6258,21.8,1.18,0.65,0,1,0,0
23,14,70.8,165.7,158.47,1001.0,733.3,341.7,0.967,40,Medium,Lluvia intensa,59.032,17.5,1,1.0,0.7256,25.8,1.365,0.609,0,1,0,1
18,1,74.9,184.5,156.28,766.0,756.3,327.1,0.689,38,Soft,Soleado,76.924,8.7,0,1.0,0.7729,22.0,1.013,0.056,1,0,0,0
28,5,70.7,172.6,164.95,805.0,776.0,446.8,0.69,32,Medium,Soleado,63.732,10.6,1,5.0,0.7142,23.7,1.037,0.179,0,1,0,0
29,14,73.2,166.7,135.23,828.0,723.4,318.7,1.091,42,Intermediate,Nublado,68.418,17.4,1,1.0,0.7259,26.3,1.145,0.483,0,0,0,0
35,13,63.5,161.2,74.57,841.0,728.9,416.4,0.516,24,Intermediate,Lluvia ligera,61.041,15.1,1,1.0,0.6824,24.4,1.154,0.371,0,0,0,1
37,2,63.3,176.2,219.36,892.0,749.2,379.5,0.728,25,Soft,Soleado,60.486,11.4,1,1.0,0.7305,20.4,1.191,0.054,1,0,0,0
21,13,70.1,165.7,74.05,693.0,716.6,295.1,0.907,31,Hard,Lluvia ligera,78.282,15.0,1,1.0,0.7277,25.5,0.967,0.619,0,0,1,1
36,6,67.7,172.4,214.78,753.0,751.6,385.1,0.863,31,Medium,Nublado,71.518,15.5,1,1.0,0.6959,22.8,1.002,0.167,0,1,0,0
29,7,72.3,164.4,54.82,877.0,676.2,351.9,0.999,44,Soft,Nublado,62.487,11.5,1,1.0,0.6706,26.8,1.297,0.241,1,0,0,0
31,7,65.2,181.3,130.35,948.0,721.8,223.1,0.703,41,Intermediate,Soleado,73.9,11.5,1,1.0,0.774,19.8,1.313,0.226,0,0,0,0
28,15,76.5,186.3,127.52,800.0,746.9,322.8,1.009,21,Intermediate,Soleado,73.603,18.9,1,1.0,0.7576,22.0,1.071,0.536,0,0,0,0
20,6,79.3,171.6,210.95,896.0,800.5,294.2,0.859,23,Hard,Soleado,77.395,6.7,1,1.0,0.7913,26.9,1.119,0.3,0,0,1,0
41,9,70.3,171.7,138.64,759.0,708.8,442.8,0.686,34,Soft,Soleado,57.84,16.0,1,1.0,0.6344,23.8,1.071,0.22,1,0,0,0
31,4,76.6,169.0,189.0,878.0,669.6,286.8,1.012,15,Hard,Nublado,64.526,10.4,1,3.0,0.6568,26.8,1.311,0.129,0,0,1,0
30,9,70.8,170.3,191.15,907.0,759.6,372.2,0.499,30,Intermediate,Lluvia intensa,65.221,16.8,1,1.0,0.7072,24.4,1.194,0.3,0,0,0,1
20,4,72.5,170.6,165.3,728.0,776.5,326.1,0.959,23,Hard,Soleado,79.703,11.0,1,1.0,0.7367,24.9,0.938,0.2,0,0,1,0
36,6,72.1,179.4,142.8,963.0,752.4,355.0,0.78,34,Hard,Soleado,61.183,7.2,1,1.0,0.7397,22.4,1.28,0.167,0,0,1,0
34,3,62.5,168.8,175.14,985.0,788.2,353.6,0.969,42,Soft,Lluvia ligera,59.702,10.5,1,3.0,0.7993,21.9,1.25,0.088,1,0,0,1
36,14,69.8,165.2,167.46,746.0,719.1,319.5,0.793,42,Hard,Soleado,73.252,13.5,1,1.0,0.7757,25.6,1.037,0.389,0,0,1,0
32,4,76.8,178.5,149.65,869.0,733.7,356.4,0.825,36,Hard,Nublado,68.955,17.5,1,4.0,0.7481,24.1,1.184,0.125,0,0,1,0
27,6,71.0,169.5,115.55,687.0,710.8,254.7,0.871,41,Hard,Soleado,81.389,9.8,1,2.0,0.786,24.7,0.967,0.222,0,0,1,0
32,17,70.7,170.8,96.04,1118.0,721.4,202.7,0.872,25,Soft,Lluvia ligera,67.942,13.0,1,1.0,0.7624,24.2,1.55,0.531,1,0,0,1
20,7,68.7,172.7,103.67,910.0,716.7,422.8,0.528,43,Medium,Soleado,58.444,19.5,1,2.0,0.695,23.0,1.27,0.35,0,1,0,0
33,12,71.5,169.8,135.0,815.0,774.8,318.8,0.822,22,Medium,Lluvia ligera,79.319,14.7,1,1.0,0.7469,24.8,1.052,0.364,0,1,0,1
33,13,70.9,173.0,126.17,824.0,918.3,277.8,0.934,39,Soft,Nublado,90.78,14.8,1,1.0,0.9541,23.7,0.897,0.394,1,0,0,0
18,9,69.3,173.2,143.66,841.0,751.1,427.5,0.77,35,Intermediate,Lluvia ligera,59.71,17.0,1,1.0,0.6967,23.1,1.12,0.5,0,0,0,1
27,10,72.6,173.2,93.05,907.0,752.5,487.2,0.761,24,Intermediate,Soleado,50.123,8.9,1,1.0,0.6472,24.2,1.205,0.37,0,0,0,0
20,13,68.5,172.7,158.42,917.0,784.7,281.5,0.944,42,Medium,Soleado,71.223,13.8,1,1.0,0.8144,23.0,1.169,0.65,0,1,0,0
39,8,80.5,185.8,140.52,897.0,716.6,396.0,0.858,30,Soft,Nublado,62.401,10.2,1,1.0,0.6978,23.3,1.252,0.205,1,0,0,0
41,15,69.0,175.2,75.96,682.0,737.1,297.6,0.866,25,Soft,Lluvia ligera,81.076,21.6,1,1.0,0.708,22.5,0.925,0.366,1,0,0,1
28,6,72.1,180.1,118.06,980.0,706.1,510.4,0.857,21,Soft,Lluvia intensa,43.333,10.0,1,1.0,0.5612,22.2,1.388,0.214,1,0,0,1
41,4,66.5,179.3,112.45,971.0,817.0,328.2,0.921,32,Soft,Lluvia intensa,69.039,8.4,1,1.0,0.8467,20.7,1.188,0.098,1,0,0,1
21,9,68.4,165.0,179.01,744.0,783.8,405.8,0.615,21,Medium,Soleado,72.201,8.5,1,1.0,0.7073,25.1,0.949,0.429,0,1,0,0
40,2,69.1,162.4,175.86,989.0,760.4,514.3,0.832,44,Hard,Lluvia ligera,49.987,7.6,1,8.0,0.7213,26.2,1.301,0.05,0,0,1,1
37,1,67.1,177.7,123.1,959.0,768.0,332.5,0.73,41,Hard,Soleado,64.355,10.5,1,2.0,0.7962,21.2,1.249,0.027,0,0,1,0
28,5,63.9,180.4,156.92,863.0,738.0,351.9,0.838,44,Medium,Soleado,65.018,9.4,1,4.0,0.7816,19.6,1.169,0.179,0,1,0,0
21,15,67.4,173.4,234.37,924.0,789.9,467.0,0.99,33,Hard,Soleado,53.3,13.5,1,1.0,0.7207,22.4,1.17,0.714,0,0,1,0
23,11,64.5,174.9,127.46,831.0,746.4,227.4,0.66,38,Medium,Nublado,79.603,16.3,1,1.0,0.8208,21.1,1.113,0.478,0,1,0,0
27,18,69.6,172.2,184.96,749.0,777.8,359.6,0.987,35,Intermediate,Lluvia intensa,75.875,15.4,1,1.0,0.7846,23.5,0.963,0.667,0,0,0,1
38,15,63.0,158.3,159.08,804.0,807.4,265.8,0.636,23,Hard,Soleado,81.32,15.0,1,1.0,0.8103,25.1,0.996,0.395,0,0,1,0
34,11,72.0,163.3,74.83,827.0,770.7,278.3,0.726,15,Intermediate,Soleado,79.531,14.0,1,1.0,0.7265,27.0,1.073,0.324,0,0,0,0
34,6,54.1,172.4,91.45,845.0,779.1,274.3,0.91,26,Intermediate,Nublado,81.878,13.9,1,1.0,0.7969,18.2,1.085,0.176,0,0,0,0
27,17,69.7,174.6,137.07,894.0,734.1,327.6,0.76,43,Medium,Soleado,68.165,17.9,1,1.0,0.73,22.9,1.218,0.63,0,1,0,0
40,6,69.1,174.4,141.77,765.0,767.1,270.0,0.626,19,Intermediate,Lluvia ligera,79.956,15.4,1,1.0,0.746,22.7,0.997,0.15,0,0,0,1
30,1,82.0,187.7,147.51,810.0,844.3,440.5,0.723,19,Medium,Nublado,69.815,10.0,1,1.0,0.7725,23.3,0.959,0.033,0,1,0,0
30,17,70.7,181.0,137.4,946.0,771.6,272.8,0.652,40,Wet,Nublado,73.907,14.3,1,1.0,0.8294,21.6,1.226,0.567,0,0,0,0
28,6,83.6,177.5,85.59,716.0,747.1,310.1,1.079,39,Hard,Lluvia ligera,80.898,14.7,1,1.0,0.7577,26.5,0.958,0.214,0,0,1,1
40,11,75.1,177.4,167.59,854.0,674.0,387.0,0.758,42,Hard,Lluvia ligera,59.301,16.1,1,1.0,0.6764,23.9,1.267,0.275,0,0,1,1
39,10,69.5,163.8,115.64,832.0,848.2,492.4,0.753,20,Wet,Lluvia intensa,61.67,13.8,1,1.0,0.7341,25.9,0.981,0.256,0,0,0,1
34,11,66.5,179.9,199.44,942.0,676.3,252.0,0.893,42,Medium,Nublado,68.902,16.7,1,1.0,0.7374,20.5,1.393,0.324,0,1,0,0
23,15,69.8,170.6,130.66,796.0,743.7,305.0,0.591,27,Medium,Soleado,75.376,11.5,1,1.0,0.7592,24.0,1.07,0.652,0,1,0,0
40,13,76.7,188.9,133.43,873.0,706.8,436.4,0.899,26,Hard,Lluvia intensa,57.933,15.3,1,1.0,0.6561,21.5,1.235,0.325,0,0,1,1
19,11,65.6,159.4,143.42,672.0,745.7,354.0,1.007,15,Soft,Soleado,77.364,17.1,1,1.0,0.699,25.8,0.901,0.579,1,0,0,0
24,3,72.0,178.7,125.25,806.0,676.7,321.1,0.682,16,Intermediate,Lluvia ligera,68.978,13.7,1,3.0,0.6864,22.5,1.191,0.125,0,0,0,1
23,2,69.4,177.5,172.22,996.0,760.2,395.1,0.733,34,Soft,Soleado,56.339,9.6,1,1.0,0.7488,22.0,1.31,0.087,1,0,0,0
38,15,74.6,178.4,205.22,843.0,738.9,362.1,0.592,37,Medium,Soleado,67.208,14.1,1,1.0,0.756,23.4,1.141,0.395,0,1,0,0
37,4,78.6,177.9,137.13,888.0,790.8,352.1,0.868,16,Soft,Nublado,66.802,13.9,1,5.0,0.738,24.8,1.123,0.108,1,0,0,0
41,14,71.1,162.8,177.19,869.0,722.0,274.3,0.872,28,Soft,Lluvia ligera,71.775,19.3,1,1.0,0.7316,26.8,1.204,0.341,1,0,0,1
22,4,68.3,182.5,162.28,1145.0,719.0,330.6,0.769,44,Medium,Soleado,52.717,13.3,1,2.0,0.7307,20.5,1.592,0.182,0,1,0,0
31,16,68.7,158.7,108.75,873.0,818.5,536.7,0.716,34,Hard,Soleado,52.244,16.1,1,1.0,0.6907,27.3,1.067,0.516,0,0,1,0
31,8,75.8,167.9,82.83,863.0,751.7,423.2,0.547,42,Medium,Nublado,60.512,18.0,1,3.0,0.7085,26.9,1.148,0.258,0,1,0,0
26,19,65.3,198.9,64.99,910.0,744.1,252.2,0.451,35,Soft,Soleado,74.3,14.6,1,1.0,0.8338,16.5,1.223,0.731,1,0,0,0
20,19,69.1,178.2,74.15,808.0,795.8,298.3,0.949,42,Soft,Soleado,77.019,11.4,1,1.0,0.8471,21.8,1.015,0.95,1,0,0,0
22,18,66.9,179.4,169.94,786.0,806.5,317.7,1.07,34,Soft,Soleado,77.921,15.0,1,1.0,0.8548,20.8,0.975,0.818,1,0,0,0
26,19,65.3,172.1,162.84,960.0,653.5,257.9,0.892,15,Medium,Nublado,62.174,17.9,1,1.0,0.6115,22.0,1.469,0.731,0,1,0,0
27,13,70.3,168.5,182.24,870.0,807.5,284.7,0.836,18,Intermediate,Soleado,79.612,13.8,1,1.0,0.7903,24.8,1.077,0.481,0,0,0,0
26,10,74.5,168.8,127.68,794.0,744.8,378.3,0.822,42,Soft,Nublado,67.861,14.6,1,1.0,0.7372,26.1,1.066,0.385,1,0,0,0
23,2,67.2,173.8,124.88,997.0,753.1,228.7,0.777,20,Hard,Lluvia ligera,75.394,11.8,1,2.0,0.7817,22.2,1.324,0.087,0,0,1,1
31,18,73.6,176.8,107.83,908.0,751.1,164.5,0.952,23,Medium,Nublado,80.117,15.5,1,1.0,0.8273,23.5,1.209,0.581,0,1,0,0
23,8,71.9,176.2,177.79,979.0,718.2,411.7,0.63,18,Medium,Soleado,52.31,14.4,1,1.0,0.6521,23.2,1.363,0.348,0,1,0,0
30,14,75.8,170.7,186.0,904.0,754.5,478.4,0.558,42,Soft,Lluvia intensa,54.298,19.1,1,1.0,0.6778,26.0,1.198,0.467,1,0,0,1
33,4,67.8,177.1,186.77,771.0,739.5,418.8,0.847,38,Soft,Soleado,62.098,12.0,1,5.0,0.6856,21.6,1.043,0.121,1,0,0,0
18,5,67.8,175.2,61.77,828.0,863.4,326.7,0.726,41,Hard,Lluvia intensa,78.206,13.4,1,1.0,0.8504,22.1,0.959,0.278,0,0,1,1
28,18,66.9,182.9,125.3,902.0,779.9,329.6,0.789,34,Soft,Lluvia ligera,67.841,21.8,1,1.0,0.7998,20.0,1.157,0.643,1,0,0,1
29,1,74.8,167.6,194.54,1037.0,777.3,495.4,0.827,26,Soft,Lluvia intensa,49.865,14.4,1,1.0,0.6897,26.6,1.334,0.034,1,0,0,1
38,12,75.7,189.0,126.76,880.0,701.3,377.9,0.977,18,Hard,Soleado,57.811,13.5,1,1.0,0.5942,21.2,1.255,0.316,0,0,1,0
40,2,69.0,176.1,114.69,870.0,789.9,359.8,0.729,38,Medium,Soleado,68.705,9.0,1,5.0,0.8033,22.3,1.101,0.05,0,1,0,0
27,9,76.8,175.0,144.14,777.0,867.7,271.9,0.899,22,Soft,Lluvia ligera,87.131,17.9,1,1.0,0.8673,25.1,0.895,0.333,1,0,0,1
40,11,67.8,168.8,93.32,755.0,687.8,171.9,1.013,25,Intermediate,Soleado,89.333,14.6,1,1.0,0.7337,23.8,1.098,0.275,0,0,0,0
24,3,70.3,173.4,149.88,900.0,691.0,301.2,0.832,19,Medium,Nublado,67.888,5.8,1,1.0,0.6791,23.4,1.302,0.125,0,1,0,0
40,6,70.4,166.3,213.4,930.0,658.6,237.1,0.813,34,Soft,Nublado,65.261,15.6,1,1.0,0.7408,25.5,1.412,0.15,1,0,0,0
19,14,71.4,175.1,192.12,782.0,794.1,383.6,0.802,35,Intermediate,Soleado,73.281,12.2,1,1.0,0.7512,23.3,0.985,0.737,0,0,0,0
23,1,65.7,177.9,205.26,835.0,766.0,261.4,0.866,15,Medium,Soleado,76.901,12.0,1,6.0,0.7915,20.8,1.09,0.043,0,1,0,0
27,2,79.5,179.8,116.48,923.0,790.2,339.7,0.868,40,Soft,Lluvia ligera,69.886,14.7,1,4.0,0.7846,24.6,1.168,0.074,1,0,0,1
21,11,62.0,170.6,142.31,795.0,748.8,418.2,0.642,43,Wet,Soleado,62.513,15.7,1,2.0,0.7314,21.3,1.062,0.524,0,0,0,0
31,8,65.0,188.8,77.21,929.0,840.4,454.0,0.97,37,Soft,Lluvia ligera,60.061,19.5,1,1.0,0.8146,18.2,1.105,0.258,1,0,0,1
21,17,71.0,178.7,175.86,815.0,801.0,317.3,0.928,28,Soft,Soleado,75.914,11.0,1,1.0,0.8024,22.2,1.017,0.81,1,0,0,0
39,15,70.0,183.5,86.64,813.0,815.8,354.5,0.754,41,Soft,Nublado,75.296,10.3,1,1.0,0.7799,20.8,0.997,0.385,1,0,0,0
32,2,69.2,182.9,125.06,1090.0,796.3,514.3,0.814,22,Hard,Soleado,41.902,12.9,1,1.0,0.65,20.7,1.369,0.062,0,0,1,0
33,16,61.4,177.0,142.14,988.0,737.0,257.3,0.806,29,Soft,Lluvia intensa,71.535,21.7,1,1.0,0.7492,19.6,1.341,0.485,1,0,0,1
27,2,65.9,185.8,156.31,616.0,667.3,233.8,0.875,40,Intermediate,Soleado,85.722,12.7,1,1.0,0.7543,19.1,0.923,0.074,0,0,0,0
37,7,64.8,169.8,138.05,713.0,692.0,410.3,0.798,17,Medium,Soleado,66.882,18.7,1,2.0,0.6194,22.5,1.03,0.189,0,1,0,0
37,3,76.4,172.1,72.95,736.0,760.9,400.9,0.661,25,Hard,Soleado,73.317,9.2,1,1.0,0.6882,25.8,0.967,0.081,0,0,1,0
21,10,66.4,179.5,202.9,804.0,722.8,310.5,1.14,26,Hard,Lluvia ligera,72.208,12.0,1,1.0,0.7056,20.6,1.112,0.476,0,0,1,1
22,7,66.8,176.5,97.63,889.0,813.2,395.9,0.671,26,Hard,Lluvia ligera,66.243,12.2,1,1.0,0.7471,21.4,1.093,0.318,0,0,1,1
25,15,73.2,177.9,70.09,851.0,789.0,228.1,0.864,22,Hard,Nublado,84.397,14.2,1,1.0,0.8168,23.1,1.079,0.6,0,0,1,0
24,4,69.1,174.6,138.2,862.0,725.5,282.4,0.703,38,Medium,Lluvia ligera,72.39,12.6,0,6.0,0.7612,22.7,1.188,0.167,0,1,0,1
35,1,69.5,175.5,135.0,875.0,596.3,317.3,1.06,17,Medium,Soleado,55.559,11.5,1,3.0,0.5823,22.6,1.467,0.029,0,1,0,0
36,19,72.5,187.4,228.67,852.0,726.2,326.6,0.566,17,Wet,Lluvia ligera,64.844,17.7,1,1.0,0.7191,20.6,1.173,0.528,0,0,0,1
34,14,70.7,175.3,136.74,822.0,673.7,232.2,0.64,33,Medium,Nublado,76.534,17.4,1,1.0,0.7171,23.0,1.22,0.412,0,1,0,0
20,4,67.2,188.5,94.07,822.0,724.2,383.0,0.749,25,Medium,Lluvia intensa,66.506,12.1,1,1.0,0.6724,18.9,1.135,0.2,0,1,0,1
26,10,80.0,164.7,164.74,801.0,808.6,409.1,0.893,35,Hard,Lluvia ligera,69.148,10.0,1,1.0,0.7889,29.5,0.991,0.385,0,0,1,1
33,9,67.9,191.1,123.26,927.0,713.0,382.1,0.833,21,Soft,Soleado,58.212,11.6,1,1.0,0.6694,18.6,1.3,0.273,1,0,0,0
25,9,65.6,182.9,57.17,821.0,830.7,332.4,0.556,32,Soft,Soleado,81.453,14.9,1,1.0,0.8219,19.6,0.988,0.36,1,0,0,0
18,9,70.0,165.8,167.27,947.0,668.7,267.0,0.357,39,Hard,Soleado,69.172,14.6,1,1.0,0.7206,25.5,1.416,0.5,0,0,1,0
21,1,73.7,181.5,140.98,904.0,731.6,554.8,0.653,43,Hard,Lluvia ligera,43.227,8.1,0,1.0,0.658,22.4,1.236,0.048,0,0,1,1
20,4,71.1,178.2,186.53,839.0,726.5,342.5,1.119,37,Medium,Soleado,66.814,11.4,1,4.0,0.7093,22.4,1.155,0.2,0,1,0,0
19,5,75.3,187.6,149.43,885.0,723.8,298.3,0.707,39,Intermediate,Nublado,67.319,17.7,1,1.0,0.7452,21.4,1.223,0.263,0,0,0,0
36,10,68.0,177.9,159.6,848.0,826.6,398.0,0.826,23,Intermediate,Soleado,74.444,11.4,1,1.0,0.7709,21.5,1.026,0.278,0,0,0,0
37,5,74.5,181.9,242.69,923.0,704.7,351.8,0.871,32,Medium,Lluvia intensa,62.416,11.1,1,3.0,0.7002,22.5,1.31,0.135,0,1,0,1
29,9,69.5,166.4,198.42,860.0,798.3,495.6,0.862,26,Hard,Lluvia ligera,56.417,13.8,1,1.0,0.6987,25.1,1.077,0.31,0,0,1,1
32,4,78.8,166.7,129.53,814.0,662.1,349.6,0.724,21,Medium,Soleado,62.151,11.5,1,1.0,0.6271,28.4,1.229,0.125,0,1,0,0
38,9,68.3,168.5,172.51,824.0,683.1,437.8,0.746,24,Hard,Nublado,58.24,18.7,1,3.0,0.6409,24.1,1.206,0.237,0,0,1,0
39,3,71.2,168.1,169.42,879.0,740.4,368.1,0.673,19,Intermediate,Nublado,62.81,12.8,1,9.0,0.6896,25.2,1.187,0.077,0,0,0,0
39,9,68.8,171.0,124.85,938.0,660.1,330.8,1.062,22,Medium,Nublado,56.543,13.3,1,1.0,0.6432,23.5,1.421,0.231,0,1,0,0
26,16,67.8,177.3,74.91,837.0,702.4,435.0,0.729,15,Soft,Soleado,53.111,16.7,1,1.0,0.5785,21.6,1.192,0.615,1,0,0,0
41,5,72.7,172.7,190.4,668.0,767.0,369.8,0.749,21,Medium,Nublado,75.347,10.1,1,1.0,0.7325,24.4,0.871,0.122,0,1,0,0
21,6,70.7,167.0,97.43,690.0,742.9,376.9,0.901,23,Wet,Soleado,74.374,12.5,1,1.0,0.6665,25.4,0.929,0.286,0,0,0,0
19,8,61.3,165.3,154.13,865.0,739.2,343.9,0.899,37,Soft,Soleado,67.905,7.1,1,1.0,0.7444,22.4,1.17,0.421,1,0,0,0
25,16,76.6,167.7,103.41,940.0,743.8,254.8,0.784,24,Hard,Lluvia intensa,75.485,18.9,1,1.0,0.766,27.2,1.264,0.64,0,0,1,1
19,9,70.7,179.8,172.3,999.0,721.4,418.9,0.791,38,Hard,Soleado,48.125,18.3,1,1.0,0.7079,21.9,1.385,0.474,0,0,1,0
23,10,74.0,153.9,175.97,825.0,817.2,445.1,0.632,17,Hard,Lluvia intensa,64.711,12.7,1,1.0,0.7063,31.2,1.01,0.435,0,0,1,1
31,14,63.5,175.2,158.06,1004.0,864.2,291.5,0.791,28,Medium,Lluvia ligera,76.605,18.5,1,1.0,0.8741,20.7,1.162,0.452,0,1,0,1
35,8,62.1,191.7,123.01,930.0,695.5,297.2,0.784,24,Medium,Nublado,62.198,13.3,1,1.0,0.6787,16.9,1.337,0.229,0,1,0,0
33,17,66.6,180.5,149.01,733.0,742.2,328.6,0.994,27,Intermediate,Soleado,74.737,17.8,1,1.0,0.7205,20.4,0.988,0.515,0,0,0,0
30,7,73.6,175.3,104.56,988.0,728.2,311.5,0.813,19,Medium,Lluvia ligera,60.034,10.4,1,3.0,0.6823,24.0,1.357,0.233,0,1,0,1
20,9,72.3,176.2,226.93,861.0,718.6,324.0,0.858,26,Hard,Lluvia intensa,69.453,13.0,1,6.0,0.691,23.3,1.198,0.45,0,0,1,1
28,19,68.8,183.4,115.28,749.0,660.7,303.0,0.682,16,Medium,Nublado,71.074,20.1,1,1.0,0.6219,20.5,1.134,0.679,0,1,0,0
31,11,74.5,186.1,143.88,828.0,736.0,374.6,0.754,32,Soft,Nublado,66.234,7.4,1,1.0,0.6913,21.5,1.125,0.355,1,0,0,0
